URI;ExternalId;SportUnionType;SportUnionRegNumber;LicenceNumber;RegNumberEntryOrder;EntryOrderDate;UnionName;UnionLocation;UnionAddress;UnionStatus;UnionStatusDate;Presenter;AddressCorespondant;Telephone;Emails;Sport;EIK;WebPage;ForeignData;CancelationOrder;CancelDate;
1202-25-1193;118;"Спортна федерация";"336-000";"СД-33";"СД-66";"26.09.2022";"Тестово обединение";"гр. София";"ул. Спортна № 66";"Заличен";"26.09.2022";"Иван Иванов";;"";"";"авто-мото спорт";"822486858";"";"EUROPEAN FEDERATION FOR COMPANY SPORT, USI";;;
1202-25-1322;218;"Спортна федерация14";"336-000";"СД-33";"СД-66";"26.09.2022";"Тестово обединение";"гр. София";"ул. Спортна № 66";"Заличен";"26.09.2022";"Иван Иванов";;"";"";"авто-мото спорт";"822486858";"";"USI от: 19.09.2022; EUROPEAN FEDERATION FOR COMPANY SPORT
			от: 30.08.2022; ";;;
1202-25-1327;211;"Спортна федерация15";"336-000";"СД-33";"СД-66";"26.09.2022";"Тестово обединение";"гр. София";"ул. Спортна № 66";"Заличен";"26.09.2022";"Иван Иванов";;"";"";"авто-мото спорт";"822486858";"";"USI от: 19.09.2022; EUROPEAN FEDERATION FOR COMPANY SPORT
			от: 30.08.2022; ";;;
1202-25-1198;3;"Спортна федерация";"103-000";"3";"";;"Българска федерация по авиомоделизъм";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"26.06.2019";"Сотир Лазарков";;"+359878877665";"bfavio@abv.bg; slazarkov@gmail.com";"авиомоделизъм";"121345940";"www.bfavio.com";"The federation aeronautique internationale, FAI - The
			world air sports federation";;;
1202-25-1200;5;"Спортна федерация";"105-000";"5";"";;"Българска федерация по шейни на улей и естествени трасета
		";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"09.07.2019";"Велислава Борисова";;"0878440050";"fbl@abv.bg";"спортни шейни";"131350754";"www.bfsheini.com";"FILC /Federation internationale de luge de course
		";;;
1202-25-1201;6;"Спортна федерация";"106-000";"6";"";;"Българска федерация по сумо";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"26.06.2019";"Борис Навчев";;"029300632, 0879930034";"bfsumo@abv.bg";"сумо";"130191014";"www.sumo-bg.com";"IFS /International sumo federation/";;;
1202-25-1203;8;"Спортна федерация";"108-000";"8";"";;"Българска федерация по лека атлетика";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"10.10.2019";"Добромир Карамаринов";;"02 9300631";"bulathletics@bfla.org";"лека атлетика";"831047739";"www.bfla.org";"International Association of Athletics Federations
		";;;
1202-25-1204;9;"Спортна федерация";"109-000";"9";"";;"Българска федерация по художествена гимнастика";"гр. София";"бул. "Васил Левски" № 75 , ет. 4";"Вписан";"10.10.2019";"Илиана Сиракова";;"029300629";"bulrg@abv.bg; bulrg_fed@abv.bg";"художествена гимнастика";"121330447";"www.fbgr.org";"Federation internationale de gimnastique /FIG/
		";;;
1202-25-1194;10;"Спортна федерация";"110-000";"10";"";;"Българска федерация по рафтинг";"гр. София";"р-н Оборище ул. Оборище № 92 За кореспонденция: кв.
			Възраждане, ул. Перник № 87, ет. 5";"Вписан";"10.10.2019";"Цветан Петров";;"0877 48 34 21";"bgraftingfederation@gmail.com";"рафтинг";"175650803";"www.raftingbulgaria.com";"Word rafting federation";;;
1202-25-1331;2118;"Спортна федерация144";"336-000";"СД-33";"СД-66";"26.09.2022";"Тестово обединение";"гр. София";"ул. Спортна № 66";"Заличен";"26.09.2022";"Иван Иванов";;"";"";"авто-мото спорт";"822486858";"";"USI от: 19.09.2022; EUROPEAN FEDERATION FOR COMPANY SPORT
			от: 30.08.2022; ";;;
